2016-05-07 21:29:16,105 - INFO - Initializing main daemon.
2016-05-07 21:29:19,582 - ERROR - Unknown error occurred.
2016-05-07 21:29:21,914 - ERROR - Unknown error occurred.
2016-05-07 21:29:24,252 - ERROR - Unknown error occurred.
2016-05-07 21:29:26,569 - ERROR - Unknown error occurred.
2016-05-07 21:29:28,852 - ERROR - Unknown error occurred.
2016-05-07 21:29:31,154 - ERROR - Unknown error occurred.
2016-05-07 21:30:33,046 - INFO - Initializing main daemon.
2016-05-07 22:14:37,990 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:14:39,209 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:15:11,638 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:15:12,917 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:15:45,323 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:15:46,542 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:16:19,081 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:16:20,335 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:16:52,938 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:16:54,145 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:17:26,634 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:17:27,832 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:18:02,049 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:18:03,295 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:18:36,971 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:18:38,211 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:19:10,723 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:19:11,928 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:19:44,026 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:19:45,255 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:20:19,250 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:20:20,532 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:20:54,312 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:20:55,536 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:21:27,888 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:21:29,131 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:22:01,546 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:22:02,792 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:22:36,259 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:22:37,507 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:23:11,055 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:23:12,293 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:23:44,362 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:23:45,665 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:24:17,931 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:24:19,170 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:24:51,598 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:24:52,832 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:25:25,243 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:25:26,480 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:25:58,793 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:26:00,003 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:26:32,049 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:26:33,279 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:27:05,625 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:27:06,891 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:27:39,763 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:27:41,030 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:28:13,157 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:28:14,459 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:28:47,430 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:28:48,635 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:29:24,150 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
